Alloy No.,Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV"
1,18.2,9.1,18.2,18.2,18.2,18.2,473
2,18.2,18.2,9.1,18.2,18.2,18.2,367
3,18.2,18.2,18.2,18.2,9.1,18.2,418
4,18.2,18.2,18.2,18.2,18.2,9.1,423
5,5.3,21.1,21.1,0,26.3,26.3,168
6,12.5,12.5,12.5,0,12.5,50,225
7,0,0,25,25,25,25,143
8,0,5,23.8,23.8,23.8,23.8,146
9,0,10,22.5,22.5,22.5,22.5,150
10,0,15,21.3,21.3,21.3,21.3,158
11,0,33.3,16.7,16.7,16.7,16.7,175
12,0,25,0,25,25,25,154
13,0,23.8,5,23.8,23.8,23.8,153
14,0,22.5,10,22.5,22.5,22.5,158
15,0,21.3,15,21.3,21.3,21.3,161
16,0,16.7,33.3,16.7,16.7,16.7,172
17,0,25,25,25,0,25,183
18,0,23.8,23.8,23.8,5,23.8,182
19,0,22.5,22.5,22.5,10,22.5,172
20,0,21.3,21.3,21.3,15,21.3,171
21,0,16.7,16.7,16.7,33.3,16.7,157
22,0,22.5,22.5,22.5,22.5,10,170
23,0,21.3,21.3,21.3,21.3,15,167
24,0,16.7,16.7,16.7,16.7,33.3,158
25,0,26.7,26.7,0,26.7,20,140
26,0,20,20,0,20,40,125
27,14.3,14.3,14.3,0,14.3,42.9,242
28,15.4,15.4,15.4,0,15.4,38.5,265
29,16.7,16.7,16.7,0,16.7,33.3,335
30,0,28.3,28.3,0,28.3,15,170
31,5,31.7,31.7,0,31.7,0,475
32,10,30,30,0,30,0,620
33,18.2,18.2,18.2,0,18.2,27.3,503
34,21.3,21.3,21.3,0,21.3,15,555
35,22.5,22.5,22.5,0,22.5,10,548
36,23.8,23.8,23.8,0,23.8,5,615
37,25,25,25,0,25,0,720
38,23.8,5,23.8,0,23.8,23.8,550
39,22.5,10,22.5,0,22.5,22.5,539
40,16.7,33.3,16.7,0,16.7,16.7,532
41,23.8,23.8,5,0,23.8,23.8,438
42,22.5,22.5,10,0,22.5,22.5,476
43,21.3,21.3,15,0,21.3,21.3,510
44,16.7,16.7,33.3,0,16.7,16.7,617
45,25,25,25,0,0,25,712
46,23.8,23.8,23.8,0,5,23.8,665
47,22.5,22.5,22.5,0,10,22.5,587
48,21.3,21.3,21.3,0,15,21.3,558
49,16.7,16.7,16.7,0,33.3,16.7,510
50,15,28.3,28.3,0,28.3,0,655
51,20,26.7,26.7,0,26.7,0,695
52,40,20,20,0,20,0,775
53,5.7,18.9,18.9,18.9,18.9,18.9,185
54,13.8,17.2,17.2,17.2,17.2,17.2,273
55,20.6,15.9,15.9,15.9,15.9,15.9,475
56,26.5,14.7,14.7,14.7,14.7,14.7,558
57,23.1,15.4,15.4,15.4,15.4,15.4,510
58,31.5,13.7,13.7,13.7,13.7,13.7,603
59,33.3,13.3,13.3,13.3,13.3,13.3,625
60,35.9,12.8,12.8,12.8,12.8,12.8,655
61,37.5,12.5,12.5,12.5,12.5,12.5,735
62,2.4,24.4,24.4,0,24.4,24.4,118
63,9.1,22.7,22.7,0,22.7,22.7,127
64,14.9,21.3,21.3,0,21.3,21.3,338
65,16.7,20.8,20.8,0,20.8,20.8,382
66,18.4,20.4,20.4,0,20.4,20.4,527
67,23.1,19.2,19.2,0,19.2,19.2,479
68,31,17.2,17.2,0,17.2,17.2,482
69,14.3,42.9,0,14.3,14.3,14.3,166
70,20,20,0,20,20,20,536
71,23.8,4.8,0,23.8,23.8,23.8,531
72,22.2,11.1,0,22.2,22.2,22.2,545
73,18.2,27.3,0,18.2,18.2,18.2,366
74,16.7,33.3,0,16.7,16.7,16.7,249
75,5.9,23.5,23.5,0,23.5,23.5,110
76,8.6,22.9,22.9,0,22.9,22.9,131
77,15.8,21.1,21.1,0,21.1,21.1,388
78,17.9,20.5,20.5,0,20.5,20.5,538
79,23.8,19,19,0,19,19,487
80,3.8,0,19.2,19.2,19.2,38.5,162
81,5.7,0,18.9,18.9,18.9,37.7,170
82,7.4,0,18.5,18.5,18.5,37,200
83,9.1,0,18.2,18.2,18.2,36.4,238
84,10.7,0,17.9,17.9,17.9,35.7,278
85,12.3,0,17.5,17.5,17.5,35.1,290
86,13.8,0,17.2,17.2,17.2,34.5,315
87,15.3,0,16.9,16.9,16.9,33.9,339
88,16.7,0,16.7,16.7,16.7,33.3,392
89,19.4,0,16.1,16.1,16.1,32.3,521
90,23.1,0,15.4,15.4,15.4,30.8,546
91,24.2,0,15.2,15.2,15.2,30.3,550
92,26.5,0,14.7,14.7,14.7,29.4,544
93,28.6,0,14.3,14.3,14.3,28.6,567
94,30.6,0,13.9,13.9,13.9,27.8,576
95,33.3,0,13.3,13.3,13.3,26.7,593
96,20,0,20,20,20,20,479
97,21.7,0,21.7,21.7,21.7,13,494
98,20.8,0,20.8,20.8,20.8,16.7,486
99,19.2,0,19.2,19.2,19.2,23.1,408
100,18.5,0,18.5,18.5,18.5,25.9,370
101,16.7,16.7,16.7,8.3,16.7,25,358
102,20,20,20,10,10,20,586
103,16.7,16.7,25,8.3,16.7,16.7,601
104,15.4,30.8,15.4,7.7,15.4,15.4,295
105,22.2,22.2,0,11.1,22.2,22.2,584
106,15.4,15.4,15.4,7.7,15.4,30.8,310
107,16.7,25,16.7,8.3,16.7,16.7,451
108,20,20,10,10,20,20,546
109,15.4,15.4,30.8,7.7,15.4,15.4,607
110,16.7,16.7,16.7,8.3,25,16.7,537
111,15.4,15.4,15.4,7.7,30.8,15.4,514
112,20,20,20,10,20,10,604
113,22.2,22.2,22.2,11.1,22.2,0,639
114,22.2,0,22.2,11.1,22.2,22.2,534
115,30.8,15.4,15.4,7.7,15.4,15.4,609
116,20,10,20,10,20,20,551
117,11.1,0,22.2,22.2,22.2,22.2,382
118,27.3,0,18.2,18.2,18.2,18.2,573
119,33.3,0,16.7,16.7,16.7,16.7,651
120,7.7,30.8,0,0,30.8,30.8,135
121,14.3,28.6,0,0,28.6,28.6,205
122,20,26.7,0,0,26.7,26.7,380
123,8,17,17,8,17,33,280
124,23,15,23,8,15,16,580
125,16.7,0,55.6,0,0,27.8,371
126,11.8,0,29.4,0,44.1,14.7,450
127,6.3,0,31.3,0,46.9,15.6,304
128,38.5,15.4,15.4,0,15.4,15.4,695
129,42.9,14.3,14.3,0,14.3,14.3,740
130,9.1,18.2,18.2,18.2,18.2,18.2,207
131,28.6,14.3,14.3,14.3,14.3,14.3,576
132,20,20,20,20,0,20,415
133,25,16.7,16.7,8.3,16.7,16.7,602
134,0,20,20,20,20,20,155
135,0,25,25,0,25,25,139
136,25,25,0,0,25,25,430
137,20,20,20,0,20,20,516
138,43,6,33,6,6,6,764
139,42.9,14.3,7.1,7.1,7.1,21.4,591
140,42.9,21.4,7.1,7.1,7.1,14.3,701
141,40,13.3,6.7,13.3,20,6.7,768
142,46.2,15.4,7.7,7.7,15.4,7.7,702
143,42.9,14.3,14.3,7.1,7.1,14.3,720
144,42.9,7.1,14.3,7.1,14.3,14.3,694
145,7,0,23.3,0,23.3,46.5,149
146,11.1,0,22.2,0,22.2,44.4,229
147,13,0,28,22,6,31,459
148,12,0,31,21,5,31,469
149,12,0,31,20,5,32,483
150,10,0,35,25,5,25,472
151,10,0,35,26,5,24,454
152,10,0,35,24,5,26,441
153,11,0,29,29,5,26,495
154,11,0,28,29,7,25,477
155,11,0,28,27,6,28,469
